ID,CurriculumID,Semester,CurriculumTypeID,ProdiID,EducationLevelID,MKID,MKCode,MKType,LecturerNIP,CoursesGroupsID,TotalSKS,SKSTeori,SKSPraktikum,SKSPraktikLapangan,StatusMK,PreconditionMKID,StatusSilabus,StatusSAP,UpdateBy,UpdateAt
154,1,5,1,5,NULL,84,MKU001,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
155,1,5,1,5,NULL,83,MKU004 ,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
156,1,5,2,5,NULL,297,UNI5002,1,3114016,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
157,1,5,1,5,NULL,298,HBP5017T,1,3114016,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
158,1,5,1,5,NULL,299,HBP5017P,1,3114039,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
159,1,5,1,5,NULL,304,ELC5003T,0,3114039,NULL,1,1,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
160,1,5,1,5,NULL,305,ELC5003P,0,3114039,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
161,1,5,1,5,NULL,306,ELC5004T,0,3116015,NULL,1,1,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
162,1,5,1,5,NULL,307,ELC5004P,0,3116015,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
163,1,5,1,5,NULL,308,ELC5005,0,3116015,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
164,1,5,1,5,NULL,300,ELC5001T,0,3114014,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
165,1,5,1,5,NULL,301,ELC5001P,0,3114014,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
166,1,5,1,5,NULL,302,ELC5002T,0,3114038,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
167,1,5,1,5,NULL,303,ELC5002P,0,3114038,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
168,1,7,2,3,NULL,83,MKU004 ,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
169,1,7,2,3,NULL,84,MKU001,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
170,1,5,1,3,NULL,295,ENT5004,1,1114080,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
171,1,5,1,3,NULL,290,SOC5001,1,1115054,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
172,1,5,1,3,NULL,321,ENT5001,1,1116013,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
173,1,1,1,10,NULL,212,ENG1105,1,2616002,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
174,1,5,1,3,NULL,323,ENT6002,1,1115027,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
175,1,5,1,3,NULL,324,ENT7003,1,1114048,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
176,1,5,2,2,NULL,182,LAW1103,0,3015016,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
177,1,2,1,11,NULL,363,PDP1206,1,2415078,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
178,1,2,1,11,NULL,363,PDP1206,1,2415078,NULL,2,0,2,0,NULL,,0,0,2017090,2018-01-08 10:10:10
179,1,4,1,2,NULL,379,CEM2223,1,2215055,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
180,1,6,1,4,NULL,416,ACC3216,1,1214044,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
181,1,6,1,1,NULL,425,URP3206,1,2516018,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
182,1,6,1,1,NULL,353,ARC3216,1,2114042,NULL,8,2,6,0,NULL,,0,0,2017090,2018-01-08 10:10:10
183,1,6,1,1,NULL,354,ARC3252,1,2516018,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
184,1,6,1,2,NULL,426,CEM3414,1,2215017,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
185,1,6,1,2,NULL,382,CEM3211,1,2215017,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
186,1,6,1,2,NULL,427,CEM3411,1,2215010,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
187,1,6,1,2,NULL,381,CEM3201,1,2616007,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
188,1,6,1,2,NULL,384,CEM3222,1,2217015,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
189,1,6,1,2,NULL,380,CEM2224,1,2215017,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
190,1,6,1,2,NULL,383,CEM3221,1,2217002,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
191,1,6,1,3,NULL,89,MKU002,1,1014073,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
192,1,6,1,3,NULL,428,ENT3233,1,2416026,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
193,1,6,1,3,NULL,429,ENT3380,1,1116036,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
194,1,6,1,3,NULL,430,ENT3232,1,1114080,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
195,1,6,1,3,NULL,431,ENT3222,1,1114080,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
196,1,6,2,4,NULL,236,UNC0202,1,3016009,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
197,1,6,1,4,NULL,432,ACC3114,1,1115054,NULL,2,2,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
198,1,6,1,4,NULL,434,ACC3220,1,1214044,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
199,1,6,1,4,NULL,435,ACC3217,1,1215032,NULL,3,3,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
200,1,6,1,4,NULL,433,ACC3218,1,1217005,NULL,4,4,0,0,NULL,,0,0,2017090,2018-01-08 10:10:10
