ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
11291,7,20161,22140014,1278,CEM3052,"Construction Engineering Economics","Construction Engineering Economics",63.75,,,,,35,35,43.63,D,1,3
7396,5,20151,31140020,750,HBP3017,French,French,70,52.5,56,52.5,75,54,68,61.06,C+,1,4
7437,5,20151,31140021,750,HBP3017,French,French,78,80,96,90,78,84,76,81.32,A-,1,4
7438,5,20151,31140021,755,HBP3012,"Hospitality Operation Internship","Hospitality Operation Internship",90,,,,,90,90,90.00,A,1,8
10658,7,20161,21140010,1302,ARC3023,"Digital Architecture","Digital Architecture",81.54,81.54,81.54,81.54,81.54,80,100,85.00,A,1,3
10659,7,20161,21140010,1303,"ARC 3033","Architecture Technology and Environment 3","Architecture Technology and Environment 3",61,,,,,64,62,62.40,C+,1,3
10952,7,20161,21140003,1303,"ARC 3033","Architecture Technology and Environment 3","Architecture Technology and Environment 3",0,,,,,65,0,22.75,E,1,3
10421,7,20161,21140010,1287,"ARC 3043","Architecture Design Studio 3","Architecture Design Studio 3",85,65,,,,65.5,55,64.60,C+,1,6
10954,7,20161,21140003,1287,"ARC 3043","Architecture Design Studio 3","Architecture Design Studio 3",73,0,,,,35.3,0,23.30,E,1,6
10959,7,20161,21140011,1308,MKU001,Pancasila,Pancasila,86,88,,,,77,88,84.40,A-,1,2
10960,7,20161,21140014,1308,MKU001,Pancasila,Pancasila,87,90,,,,75,78,80.20,A-,1,2
10083,7,20161,22140001,1285,"MKU004 ",Religion,Religion,80,85,,,,66,83,76.90,B+,1,2
11123,7,20161,22140007,1285,"MKU004 ",Religion,Religion,82,85,,,,65,78,74.80,B,1,2
11298,7,20161,22140004,1285,"MKU004 ",Religion,Religion,83,85,,,,66,81,76.50,B+,1,2
11299,7,20161,22140014,1285,"MKU004 ",Religion,Religion,84,86,,,,72,80,78.40,B+,1,2
7455,6,20152,11140035,976,SOC4005,"Information Technology","Information Technology",85,,,,,77,80,80.10,A-,1,3
7635,6,20152,11140009,976,SOC4005,"Information Technology","Information Technology",90,,,,,85,88,87.50,A,1,3
7456,6,20152,11140035,1010,SOC4007,"Principle of Finance","Principle of Finance",70,,,,,60,70,66.50,B-,1,3
7633,6,20152,11140009,1010,SOC4007,"Principle of Finance","Principle of Finance",90,,,,,90,95,91.70,A,1,3
7454,6,20152,11140035,999,SOC4006,"Principle of Marketing","Principle of Marketing",70,78,76,95,,74.16,87.37,81.80,A-,1,3
7634,6,20152,11140009,999,SOC4006,"Principle of Marketing","Principle of Marketing",90,76,85,98,,92.5,93.31,91.80,A,1,3
7452,6,20152,11140035,974,SOC4008,"Natural Science and Technology 2","Natural Science and Technology 2",85,80,80,,,77,74,77.35,B+,1,4
7631,6,20152,11140009,974,SOC4008,"Natural Science and Technology 2","Natural Science and Technology 2",100,90,95,,,98,98,97.10,A,1,4
7451,6,20152,11140035,982,ENT4002,"Entrepreneurial Finance","Entrepreneurial Finance",70,,,,,70,70,70.00,B,1,4
7630,6,20152,11140009,982,ENT4002,"Entrepreneurial Finance","Entrepreneurial Finance",85,,,,,90,90,88.50,A,1,4
7453,6,20152,11140035,1001,SOC4009,"SME Integration","SME Integration",90,,,,,78,80.93,81.80,A-,1,1
7632,6,20152,11140009,1001,SOC4009,"SME Integration","SME Integration",93,,,,,85,91.40,89.80,A,1,1
7397,6,20152,21140007,855,ARC4051,"Introduction to Landscape Architecture","Introduction to Landscape Architecture",79,80,70,,,84,75,78.50,B+,1,3
